 HS2017_CD, HS2017_KO_NM, KSIC10_CD, KSIC10_KO_NM
030499,기타,10213,수산동물 냉동품 제조업
890120,탱커(tanker),31111,강선 건조업
890120,탱커(tanker),31113,기타 선박 건조업
